block_number,tick,liquidityGross,liquidityNet,feeGrowthOutside0X128,feeGrowthOutside1X128,tickCumulativeOutside,secondsPerLiquidityOutsideX128,secondsOutside,initialized
16577835,-887220,0,0,0,0,0,0,0,False
16577835,-887160,0,0,0,0,0,0,0,False
16577835,-887100,0,0,0,0,0,0,0,False
16577835,-887040,0,0,0,0,0,0,0,False
16577835,-886980,0,0,0,0,0,0,0,False
16577835,-886920,0,0,0,0,0,0,0,False
16577835,-886860,0,0,0,0,0,0,0,False
16577835,-886800,0,0,0,0,0,0,0,False
16577835,-886740,0,0,0,0,0,0,0,False
16577835,-886680,0,0,0,0,0,0,0,False
16577835,-886620,0,0,0,0,0,0,0,False
16577835,-886560,0,0,0,0,0,0,0,False
16577835,-886500,0,0,0,0,0,0,0,False
16577835,-886440,0,0,0,0,0,0,0,False
16577835,-886380,0,0,0,0,0,0,0,False
16577835,-886320,0,0,0,0,0,0,0,False
16577835,-886260,0,0,0,0,0,0,0,False
16577835,-886200,0,0,0,0,0,0,0,False
16577835,-886140,0,0,0,0,0,0,0,False
16577835,-886080,0,0,0,0,0,0,0,False
16577835,-886020,0,0,0,0,0,0,0,False
16577835,-885960,0,0,0,0,0,0,0,False
16577835,-885900,0,0,0,0,0,0,0,False
16577835,-885840,0,0,0,0,0,0,0,False
16577835,-885780,0,0,0,0,0,0,0,False
16577835,-885720,0,0,0,0,0,0,0,False
16577835,-885660,0,0,0,0,0,0,0,False
16577835,-885600,0,0,0,0,0,0,0,False
16577835,-885540,0,0,0,0,0,0,0,False
16577835,-885480,0,0,0,0,0,0,0,False
16577835,-885420,0,0,0,0,0,0,0,False
16577835,-885360,0,0,0,0,0,0,0,False
16577835,-885300,0,0,0,0,0,0,0,False
16577835,-885240,0,0,0,0,0,0,0,False
16577835,-885180,0,0,0,0,0,0,0,False
16577835,-885120,0,0,0,0,0,0,0,False
16577835,-885060,0,0,0,0,0,0,0,False
16577835,-885000,0,0,0,0,0,0,0,False
16577835,-884940,0,0,0,0,0,0,0,False
16577835,-884880,0,0,0,0,0,0,0,False
16577835,-884820,0,0,0,0,0,0,0,False
16577835,-884760,0,0,0,0,0,0,0,False
16577835,-884700,0,0,0,0,0,0,0,False
16577835,-884640,0,0,0,0,0,0,0,False
16577835,-884580,0,0,0,0,0,0,0,False
16577835,-884520,0,0,0,0,0,0,0,False
16577835,-884460,0,0,0,0,0,0,0,False
16577835,-884400,0,0,0,0,0,0,0,False
16577835,-884340,0,0,0,0,0,0,0,False
16577835,-884280,0,0,0,0,0,0,0,False
16577835,-884220,0,0,0,0,0,0,0,False
16577835,-884160,0,0,0,0,0,0,0,False
16577835,-884100,0,0,0,0,0,0,0,False
16577835,-884040,0,0,0,0,0,0,0,False
16577835,-883980,0,0,0,0,0,0,0,False
16577835,-883920,0,0,0,0,0,0,0,False
16577835,-883860,0,0,0,0,0,0,0,False
16577835,-883800,0,0,0,0,0,0,0,False
16577835,-883740,0,0,0,0,0,0,0,False
16577835,-883680,0,0,0,0,0,0,0,False
16577835,-883620,0,0,0,0,0,0,0,False
16577835,-883560,0,0,0,0,0,0,0,False
16577835,-883500,0,0,0,0,0,0,0,False
16577835,-883440,0,0,0,0,0,0,0,False
16577835,-883380,0,0,0,0,0,0,0,False
16577835,-883320,0,0,0,0,0,0,0,False
16577835,-883260,0,0,0,0,0,0,0,False
16577835,-883200,0,0,0,0,0,0,0,False
16577835,-883140,0,0,0,0,0,0,0,False
16577835,-883080,0,0,0,0,0,0,0,False
16577835,-883020,0,0,0,0,0,0,0,False
16577835,-882960,0,0,0,0,0,0,0,False
16577835,-882900,0,0,0,0,0,0,0,False
16577835,-882840,0,0,0,0,0,0,0,False
16577835,-882780,0,0,0,0,0,0,0,False
16577835,-882720,0,0,0,0,0,0,0,False
16577835,-882660,0,0,0,0,0,0,0,False
16577835,-882600,0,0,0,0,0,0,0,False
16577835,-882540,0,0,0,0,0,0,0,False
16577835,-882480,0,0,0,0,0,0,0,False
16577835,-882420,0,0,0,0,0,0,0,False
16577835,-882360,0,0,0,0,0,0,0,False
16577835,-882300,0,0,0,0,0,0,0,False
16577835,-882240,0,0,0,0,0,0,0,False
16577835,-882180,0,0,0,0,0,0,0,False
16577835,-882120,0,0,0,0,0,0,0,False
16577835,-882060,0,0,0,0,0,0,0,False
16577835,-882000,0,0,0,0,0,0,0,False
16577835,-881940,0,0,0,0,0,0,0,False
16577835,-881880,0,0,0,0,0,0,0,False
16577835,-881820,0,0,0,0,0,0,0,False
16577835,-881760,0,0,0,0,0,0,0,False
16577835,-881700,0,0,0,0,0,0,0,False
16577835,-881640,0,0,0,0,0,0,0,False
16577835,-881580,0,0,0,0,0,0,0,False
16577835,-881520,0,0,0,0,0,0,0,False
16577835,-881460,0,0,0,0,0,0,0,False
16577835,-881400,0,0,0,0,0,0,0,False
16577835,-881340,0,0,0,0,0,0,0,False
16577835,-881280,0,0,0,0,0,0,0,False
16577835,-881220,0,0,0,0,0,0,0,False
16577835,-881160,0,0,0,0,0,0,0,False
16577835,-881100,0,0,0,0,0,0,0,False
16577835,-881040,0,0,0,0,0,0,0,False
16577835,-880980,0,0,0,0,0,0,0,False
16577835,-880920,0,0,0,0,0,0,0,False
16577835,-880860,0,0,0,0,0,0,0,False
16577835,-880800,0,0,0,0,0,0,0,False
16577835,-880740,0,0,0,0,0,0,0,False
16577835,-880680,0,0,0,0,0,0,0,False
16577835,-880620,0,0,0,0,0,0,0,False
16577835,-880560,0,0,0,0,0,0,0,False
16577835,-880500,0,0,0,0,0,0,0,False
16577835,-880440,0,0,0,0,0,0,0,False
16577835,-880380,0,0,0,0,0,0,0,False
16577835,-880320,0,0,0,0,0,0,0,False
16577835,-880260,0,0,0,0,0,0,0,False
16577835,-880200,0,0,0,0,0,0,0,False
16577835,-880140,0,0,0,0,0,0,0,False
16577835,-880080,0,0,0,0,0,0,0,False
16577835,-880020,0,0,0,0,0,0,0,False
16577835,-879960,0,0,0,0,0,0,0,False
16577835,-879900,0,0,0,0,0,0,0,False
16577835,-879840,0,0,0,0,0,0,0,False
16577835,-879780,0,0,0,0,0,0,0,False
16577835,-879720,0,0,0,0,0,0,0,False
16577835,-879660,0,0,0,0,0,0,0,False
16577835,-879600,0,0,0,0,0,0,0,False
16577835,-879540,0,0,0,0,0,0,0,False
16577835,-879480,0,0,0,0,0,0,0,False
16577835,-879420,0,0,0,0,0,0,0,False
16577835,-879360,0,0,0,0,0,0,0,False
16577835,-879300,0,0,0,0,0,0,0,False
16577835,-879240,0,0,0,0,0,0,0,False
16577835,-879180,0,0,0,0,0,0,0,False
16577835,-879120,0,0,0,0,0,0,0,False
16577835,-879060,0,0,0,0,0,0,0,False
16577835,-879000,0,0,0,0,0,0,0,False
16577835,-878940,0,0,0,0,0,0,0,False
16577835,-878880,0,0,0,0,0,0,0,False
16577835,-878820,0,0,0,0,0,0,0,False
16577835,-878760,0,0,0,0,0,0,0,False
16577835,-878700,0,0,0,0,0,0,0,False
16577835,-878640,0,0,0,0,0,0,0,False
16577835,-878580,0,0,0,0,0,0,0,False
16577835,-878520,0,0,0,0,0,0,0,False
16577835,-878460,0,0,0,0,0,0,0,False
16577835,-878400,0,0,0,0,0,0,0,False
16577835,-878340,0,0,0,0,0,0,0,False
16577835,-878280,0,0,0,0,0,0,0,False
16577835,-878220,0,0,0,0,0,0,0,False
16577835,-878160,0,0,0,0,0,0,0,False
16577835,-878100,0,0,0,0,0,0,0,False
16577835,-878040,0,0,0,0,0,0,0,False
16577835,-877980,0,0,0,0,0,0,0,False
16577835,-877920,0,0,0,0,0,0,0,False
16577835,-877860,0,0,0,0,0,0,0,False
